"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","out_bool","cond","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"82","b01_lnovikova",28,"NC",3.2,NA,2.6,NA,"accept",8326,6.8,TRUE,"b",1,1,3.3,8.3,2.8,2.4,1
"83","b01_lnovikova",28,"SC",2.4,NA,4.1,0.1,"accept",7089,7.6,TRUE,"b",1,1,8.4,3.2,2.3,8.4,1
"84","b01_lnovikova",28,"BC",8.4,6.6,3,NA,"accept",8389,1.6,TRUE,"b",1,1,8.3,2.4,8.7,2.8,0
"85","b01_lnovikova",29,"NC",2.8,NA,1,NA,"accept",10340,7.2,TRUE,"b",1,1,3.2,8.4,3.1,2.3,1
"86","b01_lnovikova",29,"SC",2.3,NA,3.5,4,"reject",10750,0,FALSE,"b",1,1,2.4,2.8,2.2,8.7,1
"87","b01_lnovikova",29,"BC",8.7,7.1,6,NA,"accept",10645,1.3,TRUE,"b",1,0,8.4,2.3,7.8,3.1,0
"88","b01_lnovikova",30,"NC",3.1,NA,2.6,NA,"accept",8002,6.9,TRUE,"b",1,1,2.8,8.7,3,2.2,0
"89","b01_lnovikova",30,"SC",2.2,NA,0,0.1,"accept",9381,7.8,TRUE,"b",0,1,2.3,3.1,2.4,7.8,0
"90","b01_lnovikova",30,"BC",7.8,7.4,2.5,NA,"accept",8867,2.2,TRUE,"b",1,1,8.7,2.2,7.8,3,1
"91","b01_lnovikova",31,"NC",3,NA,8,NA,"reject",9493,0,FALSE,"b",1,1,3.1,7.8,2.6,2.4,1
"92","b01_lnovikova",31,"SC",2.4,NA,2,0.1,"accept",10509,7.6,TRUE,"b",1,0,2.2,3,2.5,7.8,0
"93","b01_lnovikova",31,"BC",7.8,8.5,2.4,NA,"reject",9311,0,FALSE,"b",1,1,7.8,2.4,8.6,2.6,1
"94","b01_lnovikova",32,"NC",2.6,NA,4.5,NA,"reject",9362,0,FALSE,"b",0,0,3,7.8,3.2,2.5,0
"95","b01_lnovikova",32,"SC",2.5,NA,0.5,3.5,"accept",10961,7.5,TRUE,"b",1,0,2.4,2.6,2.5,8.6,0
"96","b01_lnovikova",32,"BC",8.6,7.2,5.3,NA,"accept",7932,1.4,TRUE,"b",0,1,7.8,2.5,8.8,3.2,1
"97","b01_lnovikova",33,"NC",3.2,NA,4.3,NA,"reject",8940,0,FALSE,"b",0,1,2.6,8.6,3.1,2.5,1
"98","b01_lnovikova",33,"SC",2.5,NA,3.8,0.1,"accept",7303,7.5,TRUE,"b",1,0,2.5,3.2,2.4,8.8,1
"99","b01_lnovikova",33,"BC",8.8,7.9,4.8,NA,"accept",10943,1.2,TRUE,"b",1,1,8.6,2.5,8.6,3.1,0
"100","b01_lnovikova",34,"NC",3.1,NA,3.1,NA,"accept",7781,6.9,TRUE,"b",0,1,3.2,8.8,3.2,2.4,0
"101","b01_lnovikova",34,"SC",2.4,NA,0.2,2,"accept",8671,7.6,TRUE,"b",1,1,2.5,3.1,2.3,8.6,1
"102","b01_lnovikova",34,"BC",8.6,5.7,1,NA,"accept",7570,1.4,TRUE,"b",1,1,8.8,2.4,8.8,3.2,1
"103","b01_lnovikova",35,"NC",3.2,NA,0,NA,"accept",8187,6.8,TRUE,"b",1,1,3.1,8.6,3.2,2.3,0
"104","b01_lnovikova",35,"SC",2.3,NA,3.3,4,"reject",9038,0,FALSE,"b",1,1,2.4,3.2,2.6,8.8,1
"105","b01_lnovikova",35,"BC",8.8,8.4,5,NA,"accept",8903,1.2,TRUE,"b",1,0,8.6,2.3,8.7,3.2,0
"106","b01_lnovikova",36,"NC",3.2,NA,4.6,NA,"reject",7229,0,FALSE,"b",1,1,3.2,8.8,3.5,2.6,1
"107","b01_lnovikova",36,"SC",2.6,NA,0.4,3.5,"accept",8977,7.4,TRUE,"b",0,0,2.3,3.2,2.5,8.7,1
"108","b01_lnovikova",36,"BC",8.7,8,2.9,NA,"accept",7922,1.3,TRUE,"b",1,1,8.8,2.6,8.8,3.5,1
"109","b01_lnovikova",37,"NC",3.5,NA,0,NA,"accept",9247,6.5,TRUE,"b",0,1,3.2,8.7,3.3,2.5,1
"110","b01_lnovikova",37,"SC",2.5,NA,2,1,"accept",11091,7.5,TRUE,"b",1,1,2.6,3.5,2.4,8.8,1
"111","b01_lnovikova",37,"BC",8.8,8.1,7,NA,"accept",9120,1.2,TRUE,"b",1,1,8.7,2.5,9.1,3.3,0
"112","b01_lnovikova",38,"NC",3.3,NA,1.6,NA,"accept",7373,6.7,TRUE,"b",1,1,3.5,8.8,3.1,2.4,1
"113","b01_lnovikova",38,"SC",2.4,NA,2.1,0.1,"accept",7029,7.6,TRUE,"b",1,1,2.5,3.3,2.4,9.1,1
"114","b01_lnovikova",38,"BC",9.1,8.2,5,NA,"accept",10803,0.9,TRUE,"b",1,1,8.8,2.4,8.8,3.1,0
"115","b01_lnovikova",39,"NC",3.1,NA,4,NA,"reject",9346,0,FALSE,"b",1,1,3.3,9.1,3.4,2.4,1
"116","b01_lnovikova",39,"SC",2.4,NA,2.9,4,"reject",7282,0,FALSE,"b",1,0,2.4,3.1,2.5,8.8,1
"117","b01_lnovikova",39,"BC",8.8,8.2,1.6,NA,"accept",9266,1.2,TRUE,"b",1,0,9.1,2.4,8.8,3.4,1
"118","b01_lnovikova",40,"NC",3.4,NA,0.1,NA,"accept",6883,6.6,TRUE,"b",0,1,3.1,8.8,NA,2.5,1
"119","b01_lnovikova",40,"SC",2.5,NA,2,4.8,"accept",7843,7.5,TRUE,"b",0,1,2.4,3.4,NA,8.8,1
"120","b01_lnovikova",40,"BC",8.8,8.6,7.6,NA,"accept",8009,1.2,TRUE,"b",1,1,8.8,2.5,NA,NA,1
"121","b02_igolubev",1,"NC",5,NA,5,NA,"accept",12704,5,TRUE,"b",NA,NA,NA,NA,4.8,8,NA
"122","b02_igolubev",1,"BC",8,7,5,NA,"accept",11433,2,TRUE,"b",NA,1,NA,5,7.6,3.5,NA
"123","b02_igolubev",1,"SC",3.5,NA,2.5,6.8,"accept",11299,6.5,TRUE,"b",NA,1,NA,8,3.5,4.8,NA
"124","b02_igolubev",2,"NC",4.8,NA,3.7,NA,"accept",8511,5.2,TRUE,"b",1,1,5,3.5,4.6,7.6,1
"125","b02_igolubev",2,"BC",7.6,5.9,3.8,NA,"accept",12106,2.4,TRUE,"b",1,1,8,4.8,7.4,3.5,1
"126","b02_igolubev",2,"SC",3.5,NA,3,4.5,"accept",9324,6.5,TRUE,"b",1,1,3.5,7.6,3.4,4.6,1
"127","b02_igolubev",3,"NC",4.6,NA,3.4,NA,"accept",8465,5.4,TRUE,"b",1,1,4.8,3.5,4,7.4,1
"128","b02_igolubev",3,"BC",7.4,6.3,5,NA,"accept",11067,2.6,TRUE,"b",1,1,7.6,4.6,7.1,3.4,1
"129","b02_igolubev",3,"SC",3.4,NA,2.2,4,"accept",8300,6.6,TRUE,"b",1,1,3.5,7.4,3,4,1
"130","b02_igolubev",4,"NC",4,NA,4.6,NA,"reject",10865,0,FALSE,"b",1,1,4.6,3.4,4.4,7.1,1
"131","b02_igolubev",4,"BC",7.1,7.1,5,NA,"accept",9637,2.9,TRUE,"b",1,0,7.4,4,6.8,3,1
"132","b02_igolubev",4,"SC",3,NA,0.1,0.1,"accept",12004,7,TRUE,"b",1,1,3.4,7.1,3.6,4.4,1
"133","b02_igolubev",5,"NC",4.4,NA,6.9,NA,"reject",9750,0,FALSE,"b",0,1,4,3,4.5,6.8,1
"134","b02_igolubev",5,"BC",6.8,2.5,4.4,NA,"accept",10330,3.2,TRUE,"b",1,0,7.1,4.4,6.4,3.6,1
"135","b02_igolubev",5,"SC",3.6,NA,2,8.1,"accept",8967,6.4,TRUE,"b",1,1,3,6.8,3.4,4.5,0
"136","b02_igolubev",6,"NC",4.5,NA,4.4,NA,"accept",11439,5.5,TRUE,"b",0,1,4.4,3.6,4,6.4,1
"137","b02_igolubev",6,"BC",6.4,5.7,2,NA,"accept",11665,3.6,TRUE,"b",1,1,6.8,4.5,6.8,3.4,1
"138","b02_igolubev",6,"SC",3.4,NA,0,0.1,"accept",12774,6.6,TRUE,"b",1,1,3.6,6.4,3.5,4,1
"139","b02_igolubev",7,"NC",4,NA,0.1,NA,"accept",8921,6,TRUE,"b",1,1,4.5,3.4,3.9,6.8,1
"140","b02_igolubev",7,"BC",6.8,7,6.5,NA,"reject",8822,0,FALSE,"b",1,1,6.4,4,7,3.5,0
"141","b02_igolubev",7,"SC",3.5,NA,2,0,"accept",11976,6.5,TRUE,"b",1,0,3.4,6.8,3.2,3.9,0
"142","b02_igolubev",8,"NC",3.9,NA,0.1,NA,"accept",8807,6.1,TRUE,"b",1,1,4,3.5,4.2,7,1
"143","b02_igolubev",8,"BC",7,7.2,5,NA,"reject",11259,0,FALSE,"b",0,1,6.8,3.9,7.2,3.2,1
"144","b02_igolubev",8,"SC",3.2,NA,3.8,4.3,"reject",7299,0,FALSE,"b",1,0,3.5,7,3.6,4.2,1
"145","b02_igolubev",9,"NC",4.2,NA,2,NA,"accept",12642,5.8,TRUE,"b",1,0,3.9,3.2,4.4,7.2,0
"146","b02_igolubev",9,"BC",7.2,7.3,0,NA,"reject",10474,0,FALSE,"b",0,1,7,4.2,7.5,3.6,1
"147","b02_igolubev",9,"SC",3.6,NA,2,2,"accept",11633,6.4,TRUE,"b",0,0,3.2,7.2,4.2,4.4,1
"148","b02_igolubev",10,"NC",4.4,NA,0,NA,"accept",8801,5.6,TRUE,"b",1,1,4.2,3.6,4.6,7.5,0
"149","b02_igolubev",10,"BC",7.5,7.3,5,NA,"accept",12063,2.5,TRUE,"b",0,1,7.2,4.4,7.6,4.2,1
"150","b02_igolubev",10,"SC",4.2,NA,2,3.5,"accept",15953,5.8,TRUE,"b",1,1,3.6,7.5,3.9,4.6,0
"151","b02_igolubev",11,"NC",4.6,NA,0,NA,"accept",9389,5.4,TRUE,"b",1,1,4.4,4.2,4.5,7.6,0
"152","b02_igolubev",11,"BC",7.6,6.5,5,NA,"accept",12118,2.4,TRUE,"b",1,1,7.5,4.6,7.7,3.9,0
"153","b02_igolubev",11,"SC",3.9,NA,2,0,"accept",8729,6.1,TRUE,"b",1,1,4.2,7.6,3.6,4.5,1
"154","b02_igolubev",12,"NC",4.5,NA,0,NA,"accept",9764,5.5,TRUE,"b",1,1,4.6,3.9,4,7.7,1
"155","b02_igolubev",12,"BC",7.7,8.6,2.4,NA,"reject",10366,0,FALSE,"b",1,1,7.6,4.5,8.6,3.6,0
"156","b02_igolubev",12,"SC",3.6,NA,2.8,0,"accept",11799,6.4,TRUE,"b",1,0,3.9,7.7,3.2,4,1
"157","b02_igolubev",13,"NC",4,NA,2,NA,"accept",10947,6,TRUE,"b",1,1,4.5,3.6,3.8,8.6,1
